Time,SeaGuard_Nord_Conductivity_Sensor.Conductivity,SeaGuard_Nord_Conductivity_Sensor.Temperature,SeaGuard_Nord_Pressure_Sensor.Pressure,SeaGuard_Nord_Pressure_Sensor.Temperature,SeaGuard_Sor_Conductivity_Sensor.Conductivity,SeaGuard_Sor_Conductivity_Sensor.Temperature,SeaGuard_Sor_Pressure_Sensor.Pressure,SeaGuard_Sor_Pressure_Sensor.Temperature
2022-11-26T20:00:00Z,36.2935,10.9587,330.075,10.9578,38.6959,11.8585,738.501,11.8584
2022-11-26T20:30:00Z,36.8855,11.2892,331.265,11.2969,38.7386,11.7965,739.592,11.8011
2022-11-26T21:00:00Z,37.0539,11.3656,332.003,11.3643,38.7248,11.8323,740.347,11.833
2022-11-26T21:30:00Z,37.2538,11.4368,332.883,11.4398,38.7522,11.7352,741.005,11.7375
2022-11-26T22:00:00Z,37.2986,11.4606,333.7,11.4622,38.6746,11.6582,741.826,11.6566
2022-11-26T22:30:00Z,37.2862,11.4558,334.406,11.4565,38.6725,11.662,742.226,11.6609
2022-11-26T23:00:00Z,37.125,11.392,335.014,11.4063,38.6901,11.7301,742.987,11.7321
2022-11-26T23:30:00Z,36.8574,11.3127,335.082,11.3086,38.7211,11.7218,743.004,11.7217
2022-11-27T00:00:00Z,36.3835,11.0176,334.503,11.0168,38.7205,11.7295,742.589,11.7309
2022-11-27T00:30:00Z,36.5507,11.0948,334.15,11.0966,38.6975,11.6216,742.058,11.6199
2022-11-27T01:00:00Z,36.5646,11.108,333.632,11.1109,38.6837,11.5954,741.617,11.5953
2022-11-27T01:30:00Z,36.5471,11.1102,332.52,11.1149,38.662,11.5666,740.586,11.5659
2022-11-27T02:00:00Z,36.6826,11.1989,331.553,11.1947,38.609,11.4819,739.659,11.4803
2022-11-27T02:30:00Z,36.5217,11.104,330.529,11.1102,38.5524,11.4316,738.541,11.4309
2022-11-27T03:00:00Z,36.2979,11.0064,329.192,11.0125,38.5689,11.4383,737.252,11.4385
2022-11-27T03:30:00Z,36.4011,11.0614,328.743,11.0634,38.5907,11.4577,736.848,11.4574
2022-11-27T04:00:00Z,36.2132,10.975,327.591,10.9801,38.5853,11.4988,735.801,11.4998
2022-11-27T04:30:00Z,36.1,10.9254,326.59,10.9263,38.6848,11.6581,734.763,11.6584
2022-11-27T05:00:00Z,36.0964,10.9264,326.328,10.9264,38.6949,11.6909,734.336,11.6914
2022-11-27T05:30:00Z,36.0546,10.9051,326.084,10.9081,38.6734,11.6996,734.488,11.6997
2022-11-27T06:00:00Z,36.0951,10.9214,326.367,10.9124,38.6723,11.6841,734.304,11.6843
2022-11-27T06:30:00Z,36.2375,11.035,326.847,11.0372,38.6654,11.7269,734.922,11.7268
2022-11-27T07:00:00Z,36.5086,11.1233,327.725,11.1288,38.5639,11.6758,736.173,11.6741
2022-11-27T07:30:00Z,36.8379,11.2685,328.495,11.2694,38.565,11.6735,736.481,11.674
2022-11-27T08:00:00Z,37.1783,11.4995,329.202,11.5018,38.5375,11.6459,737.257,11.6463
2022-11-27T08:30:00Z,37.1717,11.431,330.438,11.4334,38.5605,11.6623,738.482,11.6617
2022-11-27T09:00:00Z,37.1362,11.3811,331.592,11.3829,38.5439,11.6448,739.587,11.6458
2022-11-27T09:30:00Z,37.1683,11.3866,332.11,11.3889,38.5619,11.6532,739.924,11.6548
2022-11-27T10:00:00Z,37.0654,11.2923,332.933,11.2939,38.5844,11.6567,741.034,11.6582
2022-11-27T10:30:00Z,36.9527,11.2247,334.15,11.2242,38.5889,11.6573,742.031,11.6585
2022-11-27T11:00:00Z,36.9506,11.2241,334.685,11.225,38.4715,11.5453,742.621,11.5478
2022-11-27T11:30:00Z,36.9506,11.2349,335.105,11.2351,38.4981,11.5521,743.145,11.5568
2022-11-27T12:00:00Z,36.9653,11.2535,335.059,11.2557,38.5476,11.6421,743.164,11.6431
2022-11-27T12:30:00Z,36.9487,11.2479,334.26,11.2496,38.3839,11.4514,742.299,11.4532
2022-11-27T13:00:00Z,36.9342,11.2416,334.024,11.2419,38.3734,11.4182,741.926,11.4154
2022-11-27T13:30:00Z,36.9665,11.2598,333.278,11.2621,38.4113,11.4871,741.217,11.4856
2022-11-27T14:00:00Z,36.9638,11.257,331.993,11.2589,38.432,11.5008,739.94,11.4982
2022-11-27T14:30:00Z,36.9636,11.2524,330.531,11.2554,38.4052,11.4624,738.791,11.4626
2022-11-27T15:00:00Z,37.0009,11.2652,329.4,11.2689,38.4367,11.4985,737.428,11.4979
2022-11-27T15:30:00Z,36.9788,11.2524,328.365,11.2533,38.4691,11.5439,736.574,11.5414
2022-11-27T16:00:00Z,36.9696,11.2479,327.38,11.2491,38.4875,11.5736,735.547,11.5709
2022-11-27T16:30:00Z,36.969,11.2377,326.53,11.2405,38.5035,11.6119,734.671,11.6137
2022-11-27T17:00:00Z,36.9597,11.2361,325.537,11.2372,38.4602,11.5755,733.59,11.57
