timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature,dcps_current_speed,dcps_current_direction,dcps_current_speed_north,dcps_current_speed_east,dcps_current_speed_vertical,dcps_current_speed_std,dcps_signal_strength,dcps_cross_difference
2023-08-30 21:00,35.6305,15.0798,28.3903,1020.87,1499.26,316.671,15.1017,34.827,157.256,-32.1188,13.4648,-5.12341,31.6104,-4.8108,-6.54068
2023-08-30 21:30,35.7471,15.096,28.4816,1020.93,1499.42,316.701,15.1088,65.0134,165.365,-62.9039,16.4267,0.296787,28.9765,-6.37484,-2.1025
2023-08-30 22:00,35.7771,15.2539,28.3937,1020.83,1499.82,316.196,15.2577,23.9367,176.772,-23.8987,1.34803,2.41934,31.7431,-9.90362,9.77567
2023-08-30 22:30,35.3222,15.1688,28.0543,1020.59,1499.16,315.443,15.1813,18.7613,218.068,-14.7704,-11.5682,0.0954872,30.6507,-16.9631,1.59017
2023-08-30 23:00,35.3183,15.2014,28.0276,1020.56,1499.23,314.485,15.2174,10.5564,223.772,-7.62273,-7.30287,0.407984,28.0957,-17.416,4.21778
2023-08-30 23:30,35.6028,14.9575,28.4545,1020.94,1498.94,313.318,14.982,13.9176,225.509,-9.75347,-9.92827,-0.517433,28.7703,-4.49637,-1.44338
2023-08-31 00:00,35.727,15.1031,28.4588,1020.91,1499.41,312.043,15.1468,42.8328,264.07,-4.42553,-42.6035,1.04817,26.9922,-9.46208,0.75783
2023-08-31 00:30,36.4636,15.321,28.9494,1021.25,1500.68,310.594,15.3451,14.7446,272.034,0.523285,-14.7353,0.418945,26.5917,-13.3826,-1.06869
2023-08-31 00:58,36.3428,15.3536,28.8191,1021.14,1500.63,309.278,15.3754,10.8758,262.411,-1.43634,-10.7806,-1.59162,30.9151,-4.68898,-8.16005
2023-08-31 01:30,35.9674,15.3448,28.4953,1020.89,1500.23,308.11,15.3592,29.2201,270.786,0.401009,-29.2174,-1.31679,28.5756,-10.497,-1.14479
2023-08-31 02:00,35.9226,15.4015,28.415,1020.82,1500.32,306.948,15.4243,6.25947,292.851,2.43075,-5.76822,0.97308,27.1259,-15.9799,1.84141
2023-08-31 02:30,35.7766,15.3524,28.3222,1020.76,1500.06,305.855,15.3738,5.75285,343.961,5.52892,-1.58942,-0.400109,26.5232,-16.8474,-3.33475
2023-08-31 03:00,35.7541,15.2464,28.3788,1020.82,1499.78,305.151,15.2689,5.17845,286.315,1.45469,-4.96993,0.600981,27.932,-15.2909,-2.86257
2023-08-31 03:30,35.8261,15.3751,28.3494,1020.77,1500.16,305.01,15.3948,15.0144,327.247,12.6272,-8.1231,1.0886,27.8732,-11.4432,2.05692
2023-08-31 04:00,35.7769,15.3859,28.2984,1020.73,1500.14,305.276,15.3993,9.58627,326.682,8.01061,-5.2656,-0.998193,26.7807,-10.2566,2.38689
2023-08-31 04:30,35.7523,15.2963,28.3413,1020.78,1499.9,305.852,15.3151,4.04882,299.901,2.01837,-3.50986,-1.68179,33.6815,-10.7801,-4.55216
2023-08-31 05:00,35.6448,15.2272,28.2965,1020.76,1499.63,306.749,15.254,14.8485,323.683,11.9641,-8.7941,-0.354296,30.9703,-14.3225,0.361002
2023-08-31 05:30,35.7031,15.2249,28.3495,1020.8,1499.68,307.686,15.2418,12.9966,302.18,6.92182,-11.0,0.825392,30.221,-14.3493,1.70854
2023-08-31 06:00,35.6415,15.1961,28.3159,1020.78,1499.55,308.855,15.214,5.06653,190.319,-1.6858,-12.8137,4.78484,44.6209,-4.74923,-10.4848
2023-08-31 06:30,35.7047,15.227,28.3493,1020.8,1499.69,310.229,15.2418,43.1441,231.102,-27.0916,-33.5776,0.730089,33.3979,-9.40399,-6.88668
2023-08-31 07:00,35.5418,14.9929,28.3748,1020.87,1498.96,311.317,15.0138,0.87608,303.163,0.479232,-0.733385,0.936176,32.5331,-11.5455,-0.203512
2023-08-31 07:30,35.3511,14.6577,28.4493,1021.0,1497.96,312.371,14.6935,5.1746,265.763,-0.382285,-5.16045,0.26699,26.6091,-10.8552,-2.02749
2023-08-31 08:00,35.2439,14.6754,28.3407,1020.91,1497.89,313.676,14.6773,7.18091,293.938,2.91364,-6.56324,0.397094,26.3914,-11.119,-1.42103
2023-08-31 08:30,35.4595,14.8462,28.4084,1020.93,1498.53,314.753,14.8484,20.6089,308.27,12.7645,-16.1801,-1.86264,32.1249,-14.0264,-6.08416
2023-08-31 09:00,35.5104,14.9629,28.3688,1020.87,1498.86,315.638,14.9895,4.61738,252.381,-1.39765,-4.40077,0.394118,27.763,-19.6813,-3.84583
2023-08-31 09:28,35.2933,14.872,28.2421,1020.8,1498.42,316.514,14.8905,6.87487,246.714,-2.71774,-6.31488,0.683469,31.2995,-18.6378,1.58289
2023-08-31 10:00,35.2565,14.7943,28.2656,1020.83,1498.19,316.527,14.7955,11.282,287.111,3.31943,-10.7827,0.236232,30.7542,-10.4407,2.32283
2023-08-31 10:30,35.2562,14.9105,28.1814,1020.74,1498.47,316.036,14.9241,12.2254,308.413,7.59593,-9.57931,0.492497,23.8328,-17.3375,2.2493
2023-08-31 11:00,35.2216,14.9802,28.1006,1020.66,1498.6,315.58,14.9852,6.34197,277.66,0.845392,-6.28537,-0.46029,27.4338,-22.5888,4.37084
2023-08-31 11:30,35.2756,15.1301,28.0409,1020.59,1499.02,314.637,15.1522,3.20129,83.6623,0.353386,3.18173,-0.900612,26.3278,-12.0294,-5.44037
2023-08-31 12:00,35.3917,15.2099,28.086,1020.61,1499.33,313.544,15.2255,2.55608,81.2108,0.39057,2.52607,2.15045,29.4318,-13.1889,1.01178
2023-08-31 12:30,35.2442,15.063,28.0612,1020.62,1498.82,312.377,15.0803,2.61619,263.034,-0.317315,-2.59688,-0.0121271,27.0068,-20.3734,-2.66087
2023-08-31 13:00,35.3637,15.2485,28.0338,1020.56,1499.39,310.97,15.2595,19.9939,123.064,-10.9082,16.7561,3.66262,32.6958,-5.98479,5.23459
2023-08-31 13:30,35.4473,15.2774,28.0867,1020.59,1499.54,309.657,15.2957,54.5319,112.234,-20.6344,50.4772,-1.13652,27.1501,-5.03697,-1.53636
