timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
83,35.630500,35.768844,35.576444,35.961244,False,0.000113,0.014800,conductivity_conductivity:0.2142|conductivity_temperature:0.1985|conductivity_salinity:0.2018|conductivity_density:0.1773|conductivity_soundspeed:0.2083
84,35.747100,35.787650,35.595250,35.980050,False,0.000010,0.014800,conductivity_conductivity:0.2146|conductivity_temperature:0.1985|conductivity_salinity:0.2016|conductivity_density:0.1769|conductivity_soundspeed:0.2084
85,35.777100,36.022238,35.829838,36.214638,False,0.000356,0.014800,conductivity_conductivity:0.2149|conductivity_temperature:0.1988|conductivity_salinity:0.2011|conductivity_density:0.1764|conductivity_soundspeed:0.2088
86,35.322200,35.667716,35.475316,35.860116,False,0.000706,0.014800,conductivity_conductivity:0.2140|conductivity_temperature:0.1997|conductivity_salinity:0.2005|conductivity_density:0.1766|conductivity_soundspeed:0.2093
87,35.318300,35.059946,34.867546,35.252346,False,0.000395,0.014800,conductivity_conductivity:0.2129|conductivity_temperature:0.2009|conductivity_salinity:0.1996|conductivity_density:0.1768|conductivity_soundspeed:0.2099
88,35.602800,35.430619,35.238219,35.623019,False,0.000175,0.014800,conductivity_conductivity:0.2125|conductivity_temperature:0.2004|conductivity_salinity:0.2003|conductivity_density:0.1776|conductivity_soundspeed:0.2093
89,35.727000,35.455864,35.263464,35.648264,False,0.000435,0.014800,conductivity_conductivity:0.2136|conductivity_temperature:0.1994|conductivity_salinity:0.2010|conductivity_density:0.1773|conductivity_soundspeed:0.2088
90,36.463600,35.878627,35.686227,36.071027,False,0.002025,0.014800,conductivity_conductivity:0.2167|conductivity_temperature:0.1972|conductivity_salinity:0.2022|conductivity_density:0.1758|conductivity_soundspeed:0.2082
91,36.342800,36.870265,36.677865,37.062665,False,0.001646,0.014800,conductivity_conductivity:0.2187|conductivity_temperature:0.1966|conductivity_salinity:0.2019|conductivity_density:0.1742|conductivity_soundspeed:0.2085
92,35.967400,35.992961,35.800561,36.185361,False,0.000004,0.014800,conductivity_conductivity:0.2193|conductivity_temperature:0.1968|conductivity_salinity:0.2015|conductivity_density:0.1734|conductivity_soundspeed:0.2089
93,35.922600,36.246782,36.054382,36.439182,False,0.000622,0.014800,conductivity_conductivity:0.2177|conductivity_temperature:0.1983|conductivity_salinity:0.2005|conductivity_density:0.1739|conductivity_soundspeed:0.2096
94,35.776600,35.683711,35.491311,35.876111,False,0.000051,0.014800,conductivity_conductivity:0.2161|conductivity_temperature:0.1995|conductivity_salinity:0.1997|conductivity_density:0.1746|conductivity_soundspeed:0.2101
95,35.754100,35.541413,35.349013,35.733813,False,0.000268,0.014800,conductivity_conductivity:0.2155|conductivity_temperature:0.1997|conductivity_salinity:0.1997|conductivity_density:0.1750|conductivity_soundspeed:0.2100
96,35.826100,35.589724,35.397324,35.782124,False,0.000331,0.014800,conductivity_conductivity:0.2153|conductivity_temperature:0.1999|conductivity_salinity:0.1997|conductivity_density:0.1751|conductivity_soundspeed:0.2100
97,35.776900,35.899743,35.707343,36.092143,False,0.000089,0.014800,conductivity_conductivity:0.2153|conductivity_temperature:0.2000|conductivity_salinity:0.1996|conductivity_density:0.1751|conductivity_soundspeed:0.2101
98,35.752300,35.937061,35.744661,36.129461,False,0.000202,0.014800,conductivity_conductivity:0.2152|conductivity_temperature:0.2001|conductivity_salinity:0.1995|conductivity_density:0.1750|conductivity_soundspeed:0.2102
99,35.644800,35.909895,35.717495,36.102295,False,0.000416,0.014800,conductivity_conductivity:0.2148|conductivity_temperature:0.2001|conductivity_salinity:0.1997|conductivity_density:0.1755|conductivity_soundspeed:0.2100
100,35.703100,35.493014,35.300614,35.685414,False,0.000261,0.014800,conductivity_conductivity:0.2146|conductivity_temperature:0.1998|conductivity_salinity:0.2001|conductivity_density:0.1758|conductivity_soundspeed:0.2097
101,35.641500,35.541701,35.349301,35.734101,False,0.000059,0.014800,conductivity_conductivity:0.2144|conductivity_temperature:0.1998|conductivity_salinity:0.2002|conductivity_density:0.1761|conductivity_soundspeed:0.2095
102,35.704700,35.422859,35.230459,35.615259,False,0.000470,0.014800,conductivity_conductivity:0.2145|conductivity_temperature:0.1996|conductivity_salinity:0.2003|conductivity_density:0.1761|conductivity_soundspeed:0.2095
103,35.541800,35.856222,35.663822,36.048622,False,0.000585,0.014800,conductivity_conductivity:0.2141|conductivity_temperature:0.1993|conductivity_salinity:0.2008|conductivity_density:0.1767|conductivity_soundspeed:0.2090
104,35.351100,35.317469,35.125069,35.509869,False,0.000007,0.014800,conductivity_conductivity:0.2135|conductivity_temperature:0.1985|conductivity_salinity:0.2021|conductivity_density:0.1780|conductivity_soundspeed:0.2079
105,35.243900,35.065477,34.873077,35.257877,False,0.000188,0.014800,conductivity_conductivity:0.2125|conductivity_temperature:0.1979|conductivity_salinity:0.2031|conductivity_density:0.1795|conductivity_soundspeed:0.2069
